file_name,model_name,description,execution_time,cost
toy_07.jpeg,pixtral-12b-2409,"The image shows a collection of Lego blocks arranged on a green baseplate. Various Lego pieces, including a gray animal figure, a red flower, and several colored blocks, are scattered across the surface, suggesting a playful and creative setup.",3.19,0.0008
toy_07.jpeg,pixtral-large-latest,"The image shows a small Lego or Duplo setup on a green baseplate. The scene includes various elements such as a brown brick structure, a red and yellow house, a white animal figure, and a few other colorful pieces. The setup appears to be a playful, imaginative construction likely created by a child.",49.84,0.0009
toy_07.jpeg,mistral-medium-latest,"The image shows a LEGO DUPLO play setup on a green baseplate. It features various colorful bricks and pieces, including a brown train track with a small train, a flower, and a few animal figures like an elephant and a sheep. The setup is placed on a shelf, with additional loose bricks and elements scattered around, creating a playful and imaginative scene.",4.71,0.0010
toy_07.jpeg,mistral-small-latest,"The image shows a LEGO farm scene with various animals and structures. It includes a sheep, a cow, a pig, and a dog, along with a small red barn and a yellow tractor. The base is covered in green LEGO plates to represent grass.",3.62,0.0009
toy_07.jpeg,blip,Caption: a room with legos on the wall and toys on the floor,3.99,0.0046
toy_07.jpeg,blip-2,a lego set in a room,3.66,0.0060
toy_07.jpeg,llava-1.5-7b,"The image features a room with a green carpet and a collection of toys, including a Lego set. The Lego set is placed on the carpet, and there are also several other toys scattered around the room.",5.61,0.0050
toy_06.jpeg,gemini-2.5-flash-preview,"A light-colored soft-toy mouse wearing a pink dress is the central focus, resting on a pillow. The mouse, with its prominent pink ears and small brown nose, is surrounded by green and blue floral patterned fabrics, a fluffy lime green item, and a glimpse of a black comb in the background, suggesting a cozy setting.",5.49,0.0010
toy_06.jpeg,gemini-2.0-flash,"A plush mouse, wearing a pink dress, is surrounded by various textiles. The mouse lays on a white blanket with blue and green butterfly pattern. The mouse is beige with pink ears and a brown nose.",2.89,0.0007
toy_06.jpeg,gpt-4o-vision,"A small, handmade mouse doll is dressed in a pink outfit, nestled among soft, floral-patterned cushions. The background features green and blue hues on the pillows, creating a cozy and serene ambiance. The texture and detail of the knit and fabric elements add a charming and playful touch to the scene.",6.68,0.0049
toy_06.jpeg,pixtral-12b-2409,"The image shows a plush toy mouse dressed in a pink dress, lying on a couch. The couch is adorned with green and white floral-patterned cushions and a knitted green item. The scene conveys a cozy and comfortable atmosphere.",2.66,0.0008
toy_06.jpeg,pixtral-large-latest,"The image shows a plush toy mouse dressed in a pink outfit, sitting on a couch surrounded by various cushions and a green knitted item. The cushions feature floral patterns in shades of green and blue, creating a cozy and aesthetically pleasing setting. The toy mouse has a soft, knitted texture and a gentle expression, adding a charming touch to the scene.",3.56,0.0010
toy_06.jpeg,mistral-medium-latest,"The image shows a cozy scene featuring a plush mouse toy wearing a pink bonnet, resting on a floral-patterned pillow. Surrounding the toy are various soft items, including another pillow with a similar floral design, a beige cushion, and a green knitted object. The setting appears comfortable and inviting, suggesting a warm and homely atmosphere.",4.70,0.0010
toy_06.jpeg,mistral-small-latest,"The image shows a person holding a small, handmade stuffed animal that resembles a mouse. The mouse toy is dressed in a pink outfit and has a delicate gold ring on its nose. The person is wearing gloves and is surrounded by soft, pastel-colored fabrics.",3.92,0.0009
toy_06.jpeg,blip,Caption: a stuffed animal laying on top of a bed next to pillows,8.48,0.0046
toy_06.jpeg,blip-2,a stuffed animal,8.49,0.0060
toy_06.jpeg,llava-1.5-7b,"The image features a pink stuffed animal, possibly a mouse, sitting on a bed with a green blanket. The stuffed animal is wearing a pink dress and is positioned in the center of the bed.",5.83,0.0050
toy_10.jpeg,gemini-2.5-flash-preview,"This image provides an angled, close-up view inside a meticulously furnished dollhouse, likely depicting a bathroom scene. Prominently featured are a delicate white miniature bathtub and a pink vanity with a tiny sink and mirror. The setting also includes a small stuffed animal, a striped rug, a light blue star-patterned journal, and a tiny comb, all neatly arranged on the clean white shelving.",5.13,0.0012
toy_10.jpeg,gemini-2.0-flash,"The image shows the bathroom of a dollhouse. A pink sink with a mirror is on a shelf next to a striped hand towel. Below, there is a miniature bathtub and a small toy bunny.",2.57,0.0006
toy_10.jpeg,gpt-4o-vision,"The image showcases a miniature bathroom scene within a dollhouse setting. It includes a tiny white bathtub, a small sink with a mirror, and a striped rug. A little plush character and small toiletries are also part of the setup, creating a charming and detailed miniature environment.",5.35,0.0048
toy_10.jpeg,pixtral-12b-2409,"The image depicts a miniature bathroom setup. It includes a small sink with a mirror above it, a toilet, and a cabinet. Various small decorative items, such as a comb, a towel, and a notepad, are arranged around the space.",2.01,0.0009
toy_10.jpeg,pixtral-large-latest,"The image depicts a miniature dollhouse bathroom. It features a white bathtub, a toilet, and a sink with a vanity. The vanity has a mirror and a small pink towel hanging on it. There is also a striped rug on the floor and a small decorative item on the wall. The overall design is simple and charming, suitable for a child's playset.",2.75,0.0010
toy_10.jpeg,mistral-medium-latest,"The image shows a neatly organized bathroom shelf with various items. On the left, there is a comb, a notebook, and a towel. The right side features a sink with a bowl on it, a small cabinet, and a striped cloth. The setup appears to be part of a compact, well-maintained bathroom space.",3.57,0.0010
toy_10.jpeg,mistral-small-latest,"The image shows the inside of a white dresser drawer with various items. It contains a small pink drawer, a white bowl, a hairbrush, a small stuffed animal, and a few other miscellaneous items, including a striped cloth and a small mirror. The drawer appears to be part of a child's room.",2.56,0.0009
toy_10.jpeg,blip,Caption: a doll house with a sink and a toilet,5.50,0.0046
toy_10.jpeg,blip-2,a doll house,3.41,0.0060
toy_10.jpeg,llava-1.5-7b,"The image features a white toy bathroom with a sink, toilet, and mirror. The sink is located on the left side of the bathroom, while the toilet is on the right side. The mirror is positioned above the sink, and a towel is placed on the right side of the bathroom. The toy bathroom is displayed on a shelf, giving it a playful and miniature appearance.",6.22,0.0050
drawing_03.jpeg,gemini-2.5-flash-preview,"The image displays a vibrant, hand-drawn green leaf, likely rendered with markers or colored pencils, resting on a plain white background. The leaf features prominent veins and varying shades of green, highlighted with yellow, and a distinct dark brown stem. A rough pencil sketch of a shadow is visible beneath the leaf, suggesting it lies flat on a surface.",3.48,0.0011
drawing_03.jpeg,gemini-2.0-flash,"The image is a drawing of a single, green leaf on a white background. The leaf is stylized with visible veins and a small stem. A loosely sketched shadow using a gray pencil lies beneath the leaf, adding a sense of depth.",1.73,0.0008
drawing_03.jpeg,gpt-4o-vision,"The image is a sketch of a single green leaf on a blank background. The leaf is drawn with a focus on textures, featuring visible veins and shading that gives it a sense of depth. It appears to be a simple yet detailed representation using colored pencils.",4.09,0.0047
drawing_03.jpeg,pixtral-12b-2409,"The image depicts a detailed drawing of a single, large green leaf. The leaf is intricately shaded to highlight its veins and texture, giving it a three-dimensional appearance. The background is plain and light-colored, which accentuates the leaf's vibrant green hue and detailed structure.",2.88,0.0009
drawing_03.jpeg,pixtral-large-latest,Mistral pixtral-large-latest API call timed out after 60 seconds,60.01,0.0007
drawing_03.jpeg,mistral-medium-latest,"The image depicts a detailed drawing of a green leaf. The leaf is rendered with a combination of colored pencils and light sketching, showcasing its veins and texture. The background is minimalistic, with faint pencil lines adding subtle depth to the composition.",2.56,0.0009
drawing_03.jpeg,mistral-small-latest,"The image is a detailed drawing of a single green leaf with a reddish-brown stem. The leaf is depicted with intricate vein patterns, and the shading gives it a three-dimensional appearance. The background is mostly blank, allowing the leaf to stand out prominently.",1.68,0.0009
drawing_03.jpeg,blip,Caption: a drawing of a green leaf on a white background,2.40,0.0046
drawing_03.jpeg,blip-2,a leaf,1.63,0.0060
drawing_03.jpeg,llava-1.5-7b,"The image is a drawing of a leaf on a piece of paper. The leaf is green and appears to be a tropical leaf, possibly a banana leaf. The drawing is done in a sketch-like style, with the leaf being the main focus of the artwork.",3.27,0.0050
toy_09.jpeg,gemini-2.5-flash-preview,"This image captures a vibrant collection of diverse plush toys piled together within what appears to be a child's playpen or tent. Various stuffed animals, including a large brown bear, a white unicorn-like figure, and a pink-clad doll, rest on a dark green padded surface. The scene is framed by a light, striped fabric and mesh netting, creating a soft and inviting playful environment.",6.43,0.0012
toy_09.jpeg,gemini-2.0-flash,"A collection of plush toys lies inside what looks like a tent or playpen. Various animals, including a bear, a rabbit, and a white unicorn with a blue ribbon, are piled together. The toys rest on a green quilted surface, with the tent's white fabric and mesh visible in the background.
",3.47,0.0010
toy_09.jpeg,gpt-4o-vision,"The image shows a collection of plush toys scattered on a green quilted surface. The toys include a brown bear, a white plush with a blue ribbon, and various other colorful stuffed animals. They are arranged in a casual, slightly overlapping formation against a light-striped background.",7.28,0.0048
toy_09.jpeg,pixtral-12b-2409,"The image shows a collection of stuffed animals arranged on a green blanket. The assortment includes a variety of animals such as a bear, a reindeer, a white horse, and other smaller toys, creating a cozy and playful atmosphere.",3.32,0.0008
toy_09.jpeg,pixtral-large-latest,"The image shows a collection of various stuffed animals arranged on a green cushioned surface. The assortment includes a large brown bear, a white dog with a blue scarf, a pink rabbit, a small monkey, and other plush toys. The scene appears to be part of a cozy, playful setting, likely in a child's room or play area.",50.06,0.0010
toy_09.jpeg,mistral-medium-latest,"The image shows a collection of stuffed animals arranged on a bed. The assortment includes a large brown bear, a white unicorn with a blue ribbon, and several smaller plush toys. The bed has a green quilted blanket and a white mattress, with a mesh guardrail visible at the bottom.",5.07,0.0009
toy_09.jpeg,mistral-small-latest,"The image shows a collection of stuffed animals arranged on a bed. There are various plush toys, including a large brown bear, a white dog, and smaller animals like a pink pig and a yellow and red character. The bed has a striped white and gray blanket.",3.92,0.0009
toy_09.jpeg,blip,Caption: a group of stuffed animals laying on top of a bed,5.53,0.0046
toy_09.jpeg,blip-2,stuffed animals in a tent,4.03,0.0060
toy_09.jpeg,llava-1.5-7b,"The image shows a pile of stuffed animals, including a teddy bear, a white unicorn, and a rabbit, lying on a bed. The stuffed animals are in various positions, with some of them appearing to be sleeping or resting. The arrangement of the stuffed animals creates a cozy and playful atmosphere.",6.30,0.0050
toy_05.jpeg,gemini-2.5-flash-preview,"This image, rotated 90 degrees clockwise, showcases a neatly organized children's play area. A charming wooden play kitchen, featuring a grey stovetop and an orange oven, is central, surrounded by various play food items and kitchen accessories. Above, shelves hold additional toys like a shape sorter and a crate filled with colorful fabric vegetables, suggesting a well-equipped space for imaginative play.",5.26,0.0012
toy_05.jpeg,gemini-2.0-flash,"This eye-level shot shows a child's play kitchen situated beneath a gray and white shelving unit. The wooden kitchen set includes a stove with pots and pans, and an oven with orange and gray accents. Above the kitchen set, the shelves hold toys, including a shape sorter and a crate filled with fabric play food.",2.99,0.0010
toy_05.jpeg,gpt-4o-vision,"The image shows a children's play kitchen with a bright orange toy stove featuring white knobs and a tiny oven. On the stove, there are toy kitchen items, including a plate with toy macarons and a bottle. To the right, a crate holds various plush toy vegetables, adding vibrant colors to the cozy play space.",6.97,0.0049
toy_05.jpeg,pixtral-12b-2409,"The image depicts a child's play kitchen set. It includes a toy oven with a pan on top, various kitchen utensils, and a shelf with play food items like vegetables and pots. The setup is designed to mimic a real kitchen, encouraging imaginative play.",3.10,0.0009
